,Crypto,Funding Rate,Exchange,date_time
129,"""AAVE"" ",0.0090544,"""dYdX AAVE ",2022-05-28 04:00:53.054651
131,"""AAVE"" ",-0.0008,"""FTX AAVE ",2022-05-28 04:00:53.054651
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-28 04:00:53.054651
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-28 04:00:53.054651
143,"""ADA"" ",-0.00036704,"""dYdX ADA ",2022-05-28 04:00:53.054651
145,"""ADA"" ",-0.028,"""FTX ADA ",2022-05-28 04:00:53.054651
147,"""ADA"" ",0.01,"""BitMEX ADA ",2022-05-28 04:00:53.054651
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-28 04:00:53.054651
158,"""AGLD"" ",-0.0832,"""FTX AGLD ",2022-05-28 04:00:53.054651
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-28 04:00:53.054651
170,"""ALCX"" ",-0.1304,"""FTX ALCX ",2022-05-28 04:00:53.054651
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-28 04:00:53.054651
176,"""ALGO"" ",0.01,"""dYdX ALGO ",2022-05-28 04:00:53.054651
178,"""ALGO"" ",-0.0272,"""FTX ALGO ",2022-05-28 04:00:53.054651
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-28 04:00:53.054651
185,"""ALICE"" ",-0.0056,"""FTX ALICE ",2022-05-28 04:00:53.054651
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-28 04:00:53.054651
192,"""ALPHA"" ",-0.0376,"""FTX ALPHA ",2022-05-28 04:00:53.054651
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-28 04:00:53.054651
205,"""ALTMEXTT"" ",0.4854,"""BitMEX ALTMEXTT ",2022-05-28 04:00:53.054651
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-28 04:00:53.054651
216,"""ANC"" ",-0.496,"""FTX ANC ",2022-05-28 04:00:53.054651
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-28 04:00:53.054651
228,"""APE"" ",-0.0224,"""FTX APE ",2022-05-28 04:00:53.054651
230,"""APE"" ",0.01,"""BitMEX APE ",2022-05-28 04:00:53.054651
236,"""APET"" ",-0.0409,"""BitMEX APET ",2022-05-28 04:00:53.054651
241,"""AR"" ",-0.0256,"""FTX AR ",2022-05-28 04:00:53.054651
247,"""ASD"" ",-0.0712,"""FTX ASD ",2022-05-28 04:00:53.054651
253,"""ATLAS"" ",-0.1176,"""FTX ATLAS ",2022-05-28 04:00:53.054651
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-28 04:00:53.054651
259,"""ATOM"" ",-0.00348904,"""dYdX ATOM ",2022-05-28 04:00:53.054651
261,"""ATOM"" ",-0.0264,"""FTX ATOM ",2022-05-28 04:00:53.054651
267,"""AUDIO"" ",-0.0176,"""FTX AUDIO ",2022-05-28 04:00:53.054651
271,"""AVAX"" ",0.173657,"""Binance AVAX ",2022-05-28 04:00:53.054651
273,"""AVAX"" ",0.00835088,"""dYdX AVAX ",2022-05-28 04:00:53.054651
275,"""AVAX"" ",-0.0072,"""FTX AVAX ",2022-05-28 04:00:53.054651
